claim_id,policy_id,accident_date,reporting_date,claim_amount,claim_status,payout_amount
1,5224,20/11/2025,18/12/2025,55368.35,Approved,55368.35
2,4703,03/06/2023,20/10/2023,84673.4,Approved,84673.4
3,4888,06/11/2024,04/01/2025,5793.93,Approved,5793.93
4,2267,21/06/2026,07/11/2026,90117.2,Approved,90117.2
5,3246,01/08/2024,10/09/2024,68379.98,Rejected,0
6,3241,27/07/2025,20/09/2025,67650.61,Pending,0
7,4642,30/05/2025,04/09/2025,169575.13,Approved,169575.13
8,4214,15/05/2025,09/09/2025,194636.59,Approved,194636.59
9,2552,14/07/2024,27/09/2024,123894.69,Rejected,0
10,5107,24/08/2024,18/01/2025,14376.25,Approved,14376.25
11,4441,21/06/2023,11/07/2023,173363.49,Pending,0
12,5078,05/01/2026,17/03/2026,166905.03,Approved,166905.03
13,4780,26/06/2023,18/08/2023,140513.15,Rejected,0
14,1267,18/10/2026,05/11/2026,34642.16,Rejected,0
15,5196,25/07/2023,04/09/2023,54354.59,Approved,45505.63
16,1708,25/01/2025,18/04/2025,155311.98,Rejected,0
17,4791,18/03/2026,26/03/2026,80532.38,Rejected,0
18,5757,02/07/2023,25/08/2023,113652.42,Pending,0
19,802,25/07/2025,17/09/2025,79428.56,Rejected,0
20,2649,27/05/2024,21/09/2024,28356.25,Approved,28356.25
21,2399,05/11/2024,11/01/2025,85972.55,Rejected,0
22,4231,05/11/2024,15/02/2025,199466.49,Approved,199466.49
23,1531,13/05/2025,05/06/2025,172290.03,Rejected,0
24,4573,08/10/2025,17/11/2025,84720.91,Rejected,0
25,4546,25/09/2024,01/01/2025,199226.22,Approved,199226.22
26,5886,30/08/2026,01/09/2026,23353.07,Rejected,0
27,2242,17/05/2026,24/07/2026,68365.01,Rejected,0
28,2894,05/08/2025,24/11/2025,1147.44,Approved,1147.44
29,1861,02/09/2023,08/01/2024,101782.49,Rejected,0
30,1726,23/04/2025,08/07/2025,101778.74,Rejected,0
31,2085,18/11/2024,27/12/2024,32729.03,Approved,31157.8
32,5327,27/10/2024,17/01/2025,22817.61,Approved,22817.61
33,4592,05/07/2024,04/09/2024,175662.92,Approved,95204.07
