policy_id,customer_id,product_id,policy_number,start_date,end_date,premium_amount,coverage_amount
1,5239,2,HLT-2025-0000001,2025-08-25,2026-08-24,627.54,3843.99
2,2254,4,HOM-2023-0000002,2023-05-27,2024-05-26,2172.37,32682.18
3,840,2,HLT-2023-0000003,2023-01-13,2024-01-12,1398.60,44156.83
4,261,1,HLT-2024-0000004,2024-02-06,2025-02-05,423.36,3901.81
5,1905,1,HLT-2023-0000005,2023-12-21,2024-12-20,384.69,11639.19
6,5866,7,TRV-2023-0000006,2023-11-17,2024-11-16,615.85,9188.38
7,4828,5,MTR-2023-0000007,2023-07-10,2024-07-09,1104.30,45744.93
8,54,3,HOM-2023-0000008,2023-05-14,2024-05-13,427.93,15583.62
9,2788,5,MTR-2025-0000009,2025-10-22,2026-10-21,2074.98,24892.66
10,2758,2,HLT-2025-0000010,2025-04-01,2026-03-31,1079.83,9905.89
11,793,6,MTR-2023-0000011,2023-04-20,2024-04-19,489.42,21112.23
12,4946,5,MTR-2025-0000012,2025-06-10,2026-06-09,873.12,36077.99
13,5978,8,TRV-2024-0000013,2024-09-21,2025-09-20,743.72,21664.76
14,3101,2,HLT-2023-0000014,2023-01-24,2024-01-23,684.50,20426.73
15,5150,6,MTR-2023-0000015,2023-01-21,2024-01-20,340.00,10533.49
16,5772,2,HLT-2023-0000016,2023-04-30,2024-04-29,258.52,1825.69
17,1866,5,MTR-2023-0000017,2023-11-10,2024-11-09,481.67,23763.17
18,1907,2,HLT-2023-0000018,2023-12-02,2024-12-01,750.12,16581.91
19,3715,6,MTR-2025-0000019,2025-01-29,2026-01-28,675.58,8322.76
20,2911,4,HOM-2025-0000020,2025-06-28,2026-06-27,564.14,19833.97
21,5750,2,HLT-2023-0000021,2023-01-16,2024-01-15,910.50,29510.12
22,1402,4,HOM-2025-0000022,2025-04-25,2026-04-24,486.21,6006.21
23,3109,5,MTR-2023-0000023,2023-10-10,2024-10-09,468.96,23226.91
24,5243,4,HOM-2025-0000024,2025-09-10,2026-09-09,528.83,18936.15
